#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1681924057,24350,1611672,152.148.48.1,1,60,1589876,1589876,0,0,52.38.245.94,140.30.20.2,152.148.48.2,37,37,443,47014,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1589876,1589876,0,0,52.38.245.94,140.30.20.2,152.148.48.2,37,37,443,38616,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1589876,1589876,0,0,52.38.245.94,140.30.20.2,152.148.48.2,37,37,443,37672,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1589884,1589884,0,0,52.38.245.94,140.30.20.2,152.148.48.2,37,37,443,39404,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1589888,1589888,0,0,52.38.245.94,140.30.20.2,152.148.48.2,37,37,443,56480,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1593896,1593896,0,0,192.229.221.95,140.30.20.2,152.148.48.2,37,37,80,59126,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1593892,1593892,0,0,192.229.221.95,140.30.20.2,152.148.48.2,37,37,80,53092,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1593900,1593900,0,0,34.107.221.82,140.30.20.2,152.148.48.2,37,37,80,53220,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1593900,1593900,0,0,34.107.221.82,140.30.20.2,152.148.48.2,37,37,80,37342,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1593892,1593892,0,0,192.229.221.95,140.30.20.2,152.148.48.2,37,37,80,36262,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1593896,1593896,0,0,34.107.221.82,140.30.20.2,152.148.48.2,37,37,80,59424,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1593900,1593900,0,0,34.107.221.82,140.30.20.2,152.148.48.2,37,37,80,33892,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1593896,1593896,0,0,34.107.221.82,140.30.20.2,152.148.48.2,37,37,80,35702,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1593900,1593900,0,0,192.229.221.95,140.30.20.2,152.148.48.2,37,37,80,54490,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,1,60,1593900,1593900,0,0,192.229.221.95,140.30.20.2,152.148.48.2,37,37,80,45638,6,0,18,0,0,0,0
1681924057,24350,1611672,152.148.48.1,7,3887,1590088,1596004,0,0,52.38.245.94,140.30.20.2,152.148.48.2,37,37,453,38616,6,0,25,0,0,0,0
1681924057,24350,1611672,152.148.48.1,2,168,1589876,1596004,0,0,152.148.48.3,52.38.245.94,152.148.48.2,65535,37,0,1281,1,192,0,0,0,0,0
1681924057,24350,1611672,152.148.48.1,12,1282,1589684,1596004,0,0,152.148.48.7,52.38.245.94,152.148.48.2,37,37,38616,443,6,0,31,0,0,0,0
1681924057,24350,1611672,152.148.48.1,7,3887,1590088,1596196,0,0,52.38.245.94,140.30.20.2,152.148.48.2,37,37,415,47014,6,0,25,0,0,0,0
1681924057,24350,1611672,152.148.48.1,7,3887,1590100,1596236,0,0,52.38.245.94,140.30.20.2,152.148.48.2,37,37,166,39404,6,0,25,0,0,0,0
1681924057,24350,1611672,152.148.48.1,12,1282,1589684,1596236,0,0,152.148.48.6,52.38.245.94,152.148.48.2,37,37,39404,443,6,0,31,0,0,0,0
1681924057,24350,1611672,152.148.48.1,13,1322,1589684,1596232,0,0,152.148.48.5,52.38.245.94,152.148.48.2,37,37,37672,443,6,0,31,0,0,0,0
1681924057,24350,1611672,152.148.48.1,12,1282,1589684,1596196,0,0,152.148.48.9,52.38.245.94,152.148.48.2,37,37,47014,443,6,0,31,0,0,0,0
1681924057,24350,1611672,152.148.48.1,8,3939,1590092,1596232,0,0,52.38.245.94,140.30.20.2,152.148.48.2,37,37,355,37672,6,0,25,0,0,0,0
1681924057,24350,1611672,152.148.48.1,13,1322,1589684,1596296,0,0,152.148.48.8,52.38.245.94,152.148.48.2,37,37,56480,443,6,0,31,0,0,0,0
1681924057,24350,1611672,152.148.48.1,8,3939,1590108,1596296,0,0,52.38.245.94,140.30.20.2,152.148.48.2,37,37,306,56480,6,0,25,0,0,0,0
1681924057,24350,1611672,152.148.48.1,6,623,1593848,1596668,0,0,152.148.48.8,34.107.221.82,152.148.48.2,37,37,53220,80,6,0,27,0,0,0,0
1681924057,24350,1611672,152.148.48.1,3,372,1593932,1596664,0,0,34.107.221.82,140.30.20.2,152.148.48.2,37,37,29,53220,6,0,25,0,0,0,0
1681924057,24350,1611672,152.148.48.1,3,897,1593920,1596656,0,0,192.229.221.95,140.30.20.2,152.148.48.2,37,37,47,53092,6,0,25,0,0,0,0
1681924057,24350,1611672,152.148.48.1,6,744,1593848,1596656,0,0,152.148.48.8,192.229.221.95,152.148.48.2,37,37,53092,80,6,0,27,0,0,0,0
1681924058,384358,1613032,152.148.48.1,6,744,1593852,1596684,0,0,152.148.48.6,192.229.221.95,152.148.48.2,37,37,59126,80,6,0,27,0,0,0,0
1681924058,384358,1613032,152.148.48.1,3,372,1593924,1596684,0,0,34.107.221.82,140.30.20.2,152.148.48.2,37,37,259,59424,6,0,25,0,0,0,0
1681924058,384358,1613032,152.148.48.1,3,897,1593924,1596684,0,0,192.229.221.95,140.30.20.2,152.148.48.2,37,37,132,59126,6,0,25,0,0,0,0
1681924058,384358,1613032,152.148.48.1,6,623,1593856,1596684,0,0,152.148.48.6,34.107.221.82,152.148.48.2,37,37,59424,80,6,0,27,0,0,0,0
1681924058,384358,1613032,152.148.48.1,3,897,1593932,1597384,0,0,192.229.221.95,140.30.20.2,152.148.48.2,37,37,391,45638,6,0,25,0,0,0,0
1681924058,384358,1613032,152.148.48.1,1,80,1597344,1597344,0,0,152.148.48.3,152.148.48.9,0.0.0.0,65535,37,0,1281,1,192,0,0,0,0,0
1681924058,384358,1613032,152.148.48.1,3,248,1593896,1597384,0,0,152.148.48.3,34.107.221.82,152.148.48.2,65535,37,0,1281,1,192,0,0,0,0,0
1681924058,384358,1613032,152.148.48.1,6,623,1593848,1597384,0,0,152.148.48.9,34.107.221.82,152.148.48.2,37,37,37342,80,6,0,27,0,0,0,0
1681924058,384358,1613032,152.148.48.1,6,623,1593848,1597384,0,0,152.148.48.5,34.107.221.82,152.148.48.2,37,37,33892,80,6,0,27,0,0,0,0
1681924058,384358,1613032,152.148.48.1,3,956,1593920,1597372,0,0,192.229.221.95,140.30.20.2,152.148.48.2,37,37,16,36262,6,0,25,0,0,0,0
1681924058,384358,1613032,152.148.48.1,3,372,1593932,1597384,0,0,34.107.221.82,140.30.20.2,152.148.48.2,37,37,66,37342,6,0,25,0,0,0,0
1681924058,384358,1613032,152.148.48.1,3,372,1593932,1597384,0,0,34.107.221.82,140.30.20.2,152.148.48.2,37,37,152,33892,6,0,25,0,0,0,0
1681924058,384358,1613032,152.148.48.1,6,744,1593848,1597384,0,0,152.148.48.9,192.229.221.95,152.148.48.2,37,37,45638,80,6,0,27,0,0,0,0
1681924058,384358,1613032,152.148.48.1,1,80,1597388,1597388,0,0,152.148.48.3,152.148.48.7,0.0.0.0,65535,37,0,1281,1,192,0,0,0,0,0
